session_id,event_order,date,channel,device,page_path
S00001,1,2026-02-06,Social,Mobile,/products
S00001,2,2026-02-06,Social,Mobile,/features
S00001,3,2026-02-06,Social,Mobile,/blog
S00002,1,2026-03-15,Direct,Desktop,/
S00002,2,2026-03-15,Direct,Desktop,/products
S00002,3,2026-03-15,Direct,Desktop,/pricing
S00002,4,2026-03-15,Direct,Desktop,/features
S00002,5,2026-03-15,Direct,Desktop,/blog
S00002,6,2026-03-15,Direct,Desktop,/contact
S00003,1,2026-01-19,Email,Desktop,/products
S00004,1,2026-01-17,Paid Search,Mobile,/features
S00005,1,2026-01-31,Organic Search,Mobile,/pricing
S00005,2,2026-01-31,Organic Search,Mobile,/products
S00006,1,2026-03-08,Referral,Mobile,/
S00006,2,2026-03-08,Referral,Mobile,/products
S00006,3,2026-03-08,Referral,Mobile,/features
S00006,4,2026-03-08,Referral,Mobile,/blog
S00007,1,2026-03-22,Social,Desktop,/products
S00007,2,2026-03-22,Social,Desktop,/pricing
S00007,3,2026-03-22,Social,Desktop,/signup
S00007,4,2026-03-22,Social,Desktop,/features
S00007,5,2026-03-22,Social,Desktop,/blog
S00008,1,2026-02-18,Social,Desktop,/contact
S00008,2,2026-02-18,Social,Desktop,/products
S00008,3,2026-02-18,Social,Desktop,/pricing
S00008,4,2026-02-18,Social,Desktop,/features
S00008,5,2026-02-18,Social,Desktop,/blog
S00009,1,2026-02-28,Organic Search,Desktop,/pricing
S00009,2,2026-02-28,Organic Search,Desktop,/products
S00009,3,2026-02-28,Organic Search,Desktop,/features
S00009,4,2026-02-28,Organic Search,Desktop,/blog
S00009,5,2026-02-28,Organic Search,Desktop,/contact
S00010,1,2026-02-22,Direct,Mobile,/pricing
S00011,1,2026-01-19,Direct,Mobile,/
S00011,2,2026-01-19,Direct,Mobile,/features
S00011,3,2026-01-19,Direct,Mobile,/blog
S00011,4,2026-01-19,Direct,Mobile,/contact
S00011,5,2026-01-19,Direct,Mobile,/products
S00012,1,2026-02-05,Referral,Mobile,/products
S00012,2,2026-02-05,Referral,Mobile,/features
S00013,1,2026-03-01,Paid Search,Mobile,/features
S00014,1,2026-02-20,Social,Desktop,/features
S00015,1,2026-03-14,Direct,Mobile,/pricing
S00016,1,2026-03-12,Organic Search,Mobile,/features
S00017,1,2026-02-08,Direct,Mobile,/products
S00017,2,2026-02-08,Direct,Mobile,/pricing
S00017,3,2026-02-08,Direct,Mobile,/signup
S00017,4,2026-02-08,Direct,Mobile,/thank-you
S00018,1,2026-02-13,Organic Search,Mobile,/features
S00019,1,2026-02-09,Social,Desktop,/
S00019,2,2026-02-09,Social,Desktop,/features
S00019,3,2026-02-09,Social,Desktop,/blog
S00019,4,2026-02-09,Social,Desktop,/contact
S00019,5,2026-02-09,Social,Desktop,/products
S00019,6,2026-02-09,Social,Desktop,/pricing
S00020,1,2026-03-14,Paid Search,Mobile,/products
S00020,2,2026-03-14,Paid Search,Mobile,/pricing
S00020,3,2026-03-14,Paid Search,Mobile,/features
S00020,4,2026-03-14,Paid Search,Mobile,/blog
S00021,1,2026-01-17,Social,Desktop,/features
S00021,2,2026-01-17,Social,Desktop,/products
S00021,3,2026-01-17,Social,Desktop,/pricing
S00022,1,2026-01-03,Direct,Desktop,/features
S00022,2,2026-01-03,Direct,Desktop,/products
S00022,3,2026-01-03,Direct,Desktop,/blog
S00022,4,2026-01-03,Direct,Desktop,/contact
S00022,5,2026-01-03,Direct,Desktop,/pricing
S00023,1,2026-03-28,Referral,Desktop,/blog
S00024,1,2026-03-14,Email,Desktop,/blog
S00025,1,2026-03-20,Social,Desktop,/features
S00025,2,2026-03-20,Social,Desktop,/products
S00025,3,2026-03-20,Social,Desktop,/blog
S00025,4,2026-03-20,Social,Desktop,/contact
S00025,5,2026-03-20,Social,Desktop,/pricing
S00026,1,2026-03-22,Organic Search,Desktop,/blog
S00027,1,2026-02-04,Direct,Mobile,/products
S00027,2,2026-02-04,Direct,Mobile,/features
S00027,3,2026-02-04,Direct,Mobile,/blog
S00027,4,2026-02-04,Direct,Mobile,/contact
S00027,5,2026-02-04,Direct,Mobile,/pricing
S00028,1,2026-03-25,Organic Search,Mobile,/pricing
S00029,1,2026-01-21,Organic Search,Desktop,/blog
S00029,2,2026-01-21,Organic Search,Desktop,/features
S00029,3,2026-01-21,Organic Search,Desktop,/contact
S00029,4,2026-01-21,Organic Search,Desktop,/products
S00030,1,2026-02-11,Paid Search,Mobile,/pricing
S00031,1,2026-01-10,Social,Mobile,/features
S00032,1,2026-02-09,Referral,Desktop,/pricing
S00032,2,2026-02-09,Referral,Desktop,/products
S00032,3,2026-02-09,Referral,Desktop,/pricing
S00032,4,2026-02-09,Referral,Desktop,/features
S00033,1,2026-02-19,Direct,Mobile,/
S00033,2,2026-02-19,Direct,Mobile,/products
S00033,3,2026-02-19,Direct,Mobile,/features
S00033,4,2026-02-19,Direct,Mobile,/blog
S00034,1,2026-02-03,Direct,Mobile,/products
S00035,1,2026-03-20,Direct,Desktop,/features
S00035,2,2026-03-20,Direct,Desktop,/products
