session_id,date,channel,device,country,landing_page,pages_viewed,session_duration_sec,bounce,product_view,pricing_view,signup_start,signup_complete,engaged,month
S00001,2026-02-06,Social,Mobile,United Kingdom,/products,3,95.4,0,1,0,0,0,1,2026-02
S00002,2026-03-15,Direct,Desktop,United States,/,7,124.4,0,1,1,0,0,1,2026-03
S00003,2026-01-19,Email,Desktop,India,/products,1,9.7,1,1,1,0,0,0,2026-01
S00004,2026-01-17,Paid Search,Mobile,India,/features,1,20.8,1,1,0,0,0,0,2026-01
S00005,2026-01-31,Organic Search,Mobile,India,/pricing,2,77.0,0,1,0,0,0,1,2026-01
S00006,2026-03-08,Referral,Mobile,India,/,4,228.6,0,1,0,0,0,1,2026-03
S00007,2026-03-22,Social,Desktop,India,/products,5,121.3,0,1,1,1,0,1,2026-03
S00008,2026-02-18,Social,Desktop,Australia,/contact,6,211.6,0,1,1,0,0,1,2026-02
S00009,2026-02-28,Organic Search,Desktop,India,/pricing,5,238.8,0,1,0,0,0,1,2026-02
S00010,2026-02-22,Direct,Mobile,India,/pricing,1,18.9,1,1,0,0,0,0,2026-02
S00011,2026-01-19,Direct,Mobile,United Kingdom,/,5,167.1,0,0,0,0,0,1,2026-01
S00012,2026-02-05,Referral,Mobile,India,/products,2,221.3,0,1,0,0,0,1,2026-02
S00013,2026-03-01,Paid Search,Mobile,India,/features,1,12.7,1,1,1,1,1,0,2026-03
S00014,2026-02-20,Social,Desktop,India,/features,1,15.8,1,1,1,1,1,0,2026-02
S00015,2026-03-14,Direct,Mobile,Australia,/pricing,1,24.4,1,1,0,0,0,0,2026-03
S00016,2026-03-12,Organic Search,Mobile,India,/features,1,48.8,1,1,1,0,0,0,2026-03
S00017,2026-02-08,Direct,Mobile,United States,/products,2,40.0,0,1,1,1,1,1,2026-02
S00018,2026-02-13,Organic Search,Mobile,United Kingdom,/features,1,4.5,1,1,0,0,0,0,2026-02
S00019,2026-02-09,Social,Desktop,India,/,6,232.7,0,0,0,0,0,1,2026-02
S00020,2026-03-14,Paid Search,Mobile,United Kingdom,/products,4,136.8,0,1,1,0,0,1,2026-03
S00021,2026-01-17,Social,Desktop,India,/features,2,179.4,0,1,1,0,0,1,2026-01
S00022,2026-01-03,Direct,Desktop,India,/features,5,120.7,0,1,0,0,0,1,2026-01
S00023,2026-03-28,Referral,Desktop,India,/blog,1,19.5,1,0,0,0,0,0,2026-03
S00024,2026-03-14,Email,Desktop,Australia,/blog,1,36.1,1,0,0,0,0,0,2026-03
S00025,2026-03-20,Social,Desktop,India,/features,7,145.2,0,1,0,0,0,1,2026-03
S00026,2026-03-22,Organic Search,Desktop,India,/blog,1,13.8,1,0,0,0,0,0,2026-03
S00027,2026-02-04,Direct,Mobile,Australia,/products,5,175.9,0,1,0,0,0,1,2026-02
S00028,2026-03-25,Organic Search,Mobile,India,/pricing,1,23.7,1,1,1,1,0,0,2026-03
S00029,2026-01-21,Organic Search,Desktop,Canada,/blog,4,100.4,0,0,0,0,0,1,2026-01
S00030,2026-02-11,Paid Search,Mobile,United States,/pricing,1,28.0,1,1,0,0,0,0,2026-02
S00031,2026-01-10,Social,Mobile,United States,/features,1,14.5,1,1,1,0,0,0,2026-01
S00032,2026-02-09,Referral,Desktop,United Kingdom,/pricing,4,321.1,0,1,1,0,0,1,2026-02
S00033,2026-02-19,Direct,Mobile,United Kingdom,/,4,274.5,0,1,0,0,0,1,2026-02
S00034,2026-02-03,Direct,Mobile,India,/products,1,36.9,1,1,1,1,1,0,2026-02
S00035,2026-03-20,Direct,Desktop,Australia,/features,2,167.1,0,1,0,0,0,1,2026-03
S00036,2026-01-08,Organic Search,Mobile,Australia,/,1,9.3,1,0,0,0,0,0,2026-01
S00037,2026-01-16,Organic Search,Desktop,Canada,/features,1,28.3,1,1,1,0,0,0,2026-01
